opportunity_id,project_type,project_name,builder_name,city_name,product_name,package_id,quantity,purchase_date,sales_confirmation_date,account_manager,current_status_name,Latest_date,project_start_date
https://lookup.housing.com/opportunity/4528875,,Citizen Ram Nivas,Citizen Housing & Developing Co-Operative Society,Varanasi,Drone video + voiceover,,1,22-Jul-2024,22-Jul-2024,Shashank Verma,3rd Cut Delivery,7-Sep-2024,24-Jul-2024
https://lookup.housing.com/opportunity/3839335,,Engrace Soulace,Modern Spaaces,Bangalore,SliceView,,1,12-Dec-2023,11-Mar-2024,Deepak Panigrahy,3rd Cut Delivery,22-Aug-2024,29-Mar-2024
https://lookup.housing.com/opportunity/3475555,,Serene Heights,Modern Spaaces,Bangalore,Drone Interactive,,1,30-Nov-2023,22-Jan-2024,Deepak Kumar Panigrahy,2nd Cut Delivery,9-May-2024,24-Jan-2024
https://lookup.housing.com/opportunity/3475555,,Onyx,Modern Spaaces,Bangalore,Drone Interactive,,1,11-Mar-2024,22-Jan-2024,Deepak Kumar Panigrahy,2nd Cut Delivery,5-Feb-2024,22-Jan-2024
https://lookup.housing.com/opportunity/4598612,,Siyara Heights,Shakti Realty,Mumbai,Drone video + voiceover,,1,31-Jul-2024,1-Aug-2024,Sandeep Lalbahadur Pal,1st Cut Delivery,24-Aug-2024,
https://lookup.housing.com/opportunity/2968566,,Sadguru Avighna,Sadguru Realty,Mumbai,Drone Interactive,,1,3-Apr-2024,23-Aug-2024,Amit Nitish Raval,2nd Cut Delivery,6-Sep-2024,
https://lookup.housing.com/opportunity/4652500,,Golden Aura,Excel Homes,Pune,Drone Interactive,,1,16-Aug-2024,20-Aug-2024,Lubaba Navid Momin,2nd Cut Delivery,3-Sep-2024,
https://lookup.housing.com/opportunity/2880910,,Next Space Realty LLP,Next Space Realty LLP,Mumbai,Drone Interactive,,1,1-Jun-2023,27-Jun-2024,Anjani Sankatmochan Shukla,2nd Cut Delivery,17-Jul-2024,2-Jul-2024
https://lookup.housing.com/opportunity/3580788,,Nisarga Avenue 3,Aura Contrivers Private Limited,Coimbatore,Drone video + voiceover,,1,7-Jan-2024,20-Feb-2024,Vinothkumar Thiyagarajan,1st Cut Delivery,1-Jul-2024,
https://lookup.housing.com/opportunity/3716564,,Ceratec 108,Ceratec Group,Pune,Area Wiki Lite,,1,22-Mar-2024,4-Apr-2024,Shraddha Suresh Mange Bhanushali,3rd Cut Delivery,27-Sep-2024,6-May-2024
https://lookup.housing.com/opportunity/4492820,,Urbanyx Court,Urbanyx Infra Private Limited,Bhubaneswar,Drone Interactive,,1,3-Aug-2024,9-Aug-2024,Madhushree Mukherjee,1st Cut Delivery,22-Aug-2024,
https://lookup.housing.com/opportunity/3196467,,Spenta Corporation,Spenta Corporation,Mumbai,Drone Interactive,,1,1-Jun-2024,5-Jun-2024,Jatin Chandrakant Pawar,2nd Cut Delivery,29-Aug-2024,7-Jun-2024
https://lookup.housing.com/opportunity/2876917,,Sayba Group,Sayba Group,Mumbai,Drone video,,1,2-Aug-2024,5-Sep-2024,Jatin Chandrakant Pawar,4th Cut Delivery,21-Oct-2024,
https://lookup.housing.com/opportunity/4528350,,Benicio Homes,Benicio Homes,Goa,Drone Interactive,,1,30-Jul-2024,23-Aug-2024,Srikant Singh,2nd Cut Delivery,24-Sep-2024,
